dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_2_0.0002_3EpochsLast,2612,1799,8254,0.5921559737021084,0.24038284557334805,0.341951953917654,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_4_0.0002_3EpochsLast,353,355,10513,0.4985875706214689,0.032486655623044355,0.0609987903922585,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_2_0.0002_3EpochsLast,7894,1972,2972,0.800121629839854,0.7264862875023007,0.7615280725448582,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast,235,273,10631,0.4625984251968504,0.021627093686729246,0.04132231404958677,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_8_0.0002_3EpochsLast,368,379,10498,0.4926372155287818,0.03386710841155899,0.06337724963403081,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,190,84,10676,0.6934306569343066,0.017485735321185348,0.0341113105924596,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,4784,4179,6082,0.5337498605377664,0.4402724093502669,0.4825255938272228,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_4_0.0002_3EpochsLast,2176,1960,8690,0.5261121856866537,0.20025768452052273,0.29009465404612716,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast,2500,2263,8366,0.5248792777661138,0.2300754647524388,0.3199181009661527,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_8_0.0002_3EpochsLast,2382,2157,8484,0.5247851949768672,0.2192159028161237,0.3092502434274586,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,735,814,10131,0.4744996772111039,0.06764218663721701,0.1184051550543697,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_8_0.0002_3EpochsLast,2297,2087,8569,0.5239507299270073,0.21139333701454077,0.3012459016393443,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,8803,6910,2063,0.5602367466429071,0.8101417264862875,0.6624026487076262,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_4_0.0002_3EpochsLast,9830,7206,1036,0.5770133834233389,0.9046567274065893,0.7046089886029676,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast,5199,4137,5667,0.5568766066838047,0.4784649364991717,0.5147015147015147,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast,9311,3401,1555,0.7324575204531152,0.8568930609239831,0.7898040546271949,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,7539,6144,3327,0.5509756632317474,0.6938155715074544,0.6142001710863987,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_2_0.0002_3EpochsLast,7722,6984,3144,0.5250917992656059,0.7106570955273329,0.6039418113561708,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast,347,420,10519,0.45241199478487615,0.031934474507638505,0.05965786985300438,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.05,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast,1237,1454,9629,0.45968041620215533,0.11384133995950672,0.18248875119864277,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.05_2_0.0002_3EpochsLast,en.layer1,NoQuant,16,64,0.05,2,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_8_0.0002_3EpochsLast,1593,1585,9273,0.5012586532410321,0.146604086140254,0.22685844488749646,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,32,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_8_0.0002_3EpochsLast,2425,2226,8441,0.5213932487637067,0.22317320080986564,0.31256041760649605,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,32,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_32_0.05_4_0.0002_3EpochsLast,3170,2644,7696,0.5452356381148951,0.2917356893060924,0.3800959232613909,Llama-2-7b-hf,en.layer1_NoQuant_16_32_0.05_4_0.0002_3EpochsLast,en.layer1,NoQuant,16,32,0.05,4,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_8_0.0002_3EpochsLast,2539,2312,8327,0.523397237682952,0.23366464200257683,0.3230896481516829,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_8_0.0002_3EpochsLast,en.layer1,NoQuant,64,64,0.01,8,0.0002,3EpochsLast
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_2_0.0002_3EpochsLast,273,301,10593,0.47560975609756095,0.025124240750966316,0.04772727272727273,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_2_0.0002_3EpochsLast,en.layer1,NoQuant,32,32,0.01,2,0.0002,3EpochsLast
