dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_4_0.0002_5EpochsBestF1Train,3448,4466,6009,0.43568359868587314,0.3645976525325156,0.3969834782108111,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,64,0.01,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_8_0.0002_5EpochsBestF1Train,484,1363,9401,0.26204656199242016,0.04896307536671725,0.08250937606546198,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,16,64,0.01,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_2_0.0002_5EpochsBestF1Train,2013,2969,7934,0.40405459654757125,0.2023725746456218,0.26967646861812583,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,32,0.05,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_4_0.0002_5EpochsBestF1Train,2300,3354,7387,0.40679165192783867,0.237431609373387,0.29985007496251875,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,32,0.05,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_8_0.0002_5EpochsBestF1Train,814,2302,8362,0.2612323491655969,0.08870967741935484,0.13244386592905955,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,32,0.05,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_2_0.0002_5EpochsBestF1Train,2248,3202,7612,0.4124770642201835,0.2279918864097363,0.29366427171783144,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,32,0.01,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_4_0.0002_5EpochsBestF1Train,1697,3908,6601,0.30276538804638714,0.20450711014702339,0.24411997410630804,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,32,0.01,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_8_0.0002_5EpochsBestF1Train,1037,2947,7692,0.26029116465863456,0.11879940428456869,0.1631400928183749,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,32,0.01,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_2_0.0002_5EpochsBestF1Train,2749,3564,6866,0.4354506573736734,0.2859074362974519,0.34517830236062286,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,64,0.05,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_4_0.0002_5EpochsBestF1Train,1469,3931,6534,0.272037037037037,0.1835561664375859,0.2192046556741028,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,64,0.05,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_8_0.0002_5EpochsBestF1Train,1276,3595,6813,0.26195853007595976,0.15774508591914946,0.19691358024691358,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,64,0.05,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_2_0.0002_5EpochsBestF1Train,2717,3525,6906,0.43527715475809037,0.2823443832484672,0.34251497005988024,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,64,0.01,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_4_0.0002_5EpochsBestF1Train,1494,3946,6481,0.2746323529411765,0.18733542319749216,0.2227357435706299,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,64,0.01,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_8_0.0002_5EpochsBestF1Train,1260,3543,6853,0.2623360399750156,0.15530629853321828,0.195106844224218,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,32,64,0.01,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_2_0.0002_5EpochsBestF1Train,2761,3561,6848,0.43672888326478965,0.2873347903007597,0.34661979787835034,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,32,0.05,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_4_0.0002_5EpochsBestF1Train,1534,3986,6391,0.2778985507246377,0.1935646687697161,0.22818891781331352,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,32,0.05,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_8_0.0002_5EpochsBestF1Train,1290,3638,6768,0.2617694805194805,0.16008935219657483,0.1986754966887417,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,32,0.05,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_2_0.0002_5EpochsBestF1Train,2848,3696,6704,0.4352078239608802,0.2981574539363484,0.3538767395626243,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,32,0.01,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_4_0.0002_5EpochsBestF1Train,1582,4095,6262,0.2786683107274969,0.20168281489036205,0.2340063604762961,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,32,0.01,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_8_0.0002_5EpochsBestF1Train,1328,3710,6675,0.2635966653433902,0.16593777333499937,0.20366536308565292,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,32,0.01,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_2_0.0002_5EpochsBestF1Train,1608,3848,6519,0.29472140762463345,0.19785898855666298,0.23676654641831701,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,64,0.05,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_4_0.0002_5EpochsBestF1Train,1775,4408,5935,0.287077470483584,0.23022049286640725,0.25552436478802276,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,64,0.05,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_8_0.0002_5EpochsBestF1Train,1426,3973,6403,0.26412298573809967,0.18214331332226338,0.21560326579981856,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,64,0.05,8,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_2_0.0002_5EpochsBestF1Train,1556,4100,6219,0.2751060820367751,0.20012861736334406,0.2317027771573226,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_2_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,64,0.01,2,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_4_0.0002_5EpochsBestF1Train,2068,4851,5485,0.2988871224165342,0.27379849066596057,0.2857932559425097,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_4_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,64,0.01,4,0.0002,5EpochsBestF1Train
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_8_0.0002_5EpochsBestF1Train,1522,4197,6170,0.26613044238503236,0.19786791471658866,0.2269778540004474,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_8_0.0002_5EpochsBestF1Train,en.layer1,NoQuant,64,64,0.01,8,0.0002,5EpochsBestF1Train
