dataset,TP,FP,FN,precision,recall,f1,model_type,training_config,layer,quantization,r,lora_alpha,lora_dropout,gradient_accumulation_steps,learning_rate,run_type
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_16_64_0.01_8_0.0002_5Epochs,741,2121,8662,0.2589098532494759,0.0788046368180368,0.12083163473298003,Llama-2-7b-hf,en.layer1_NoQuant_16_64_0.01_8_0.0002_5Epochs,en.layer1,NoQuant,16,64,0.01,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_2_0.0002_5Epochs,3723,5024,5530,0.425631645135475,0.4023559926510321,0.4136666666666666,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_2_0.0002_5Epochs,en.layer1,NoQuant,32,32,0.05,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_4_0.0002_5Epochs,5054,6947,3531,0.42113157236896925,0.5887012230634828,0.49101331001651605,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_4_0.0002_5Epochs,en.layer1,NoQuant,32,32,0.05,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.05_8_0.0002_5Epochs,1240,3288,7106,0.27385159010600707,0.14857416726575606,0.1926363212676713,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.05_8_0.0002_5Epochs,en.layer1,NoQuant,32,32,0.05,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_2_0.0002_5Epochs,3619,4737,5708,0.43310196266156054,0.3880132947357135,0.4093196855737149,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_2_0.0002_5Epochs,en.layer1,NoQuant,32,32,0.01,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_4_0.0002_5Epochs,5526,7472,2884,0.4251423295891676,0.6570749108204519,0.5162556053811659,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_4_0.0002_5Epochs,en.layer1,NoQuant,32,32,0.01,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_32_0.01_8_0.0002_5Epochs,1231,3444,6934,0.26331550802139037,0.15076546233925292,0.19174454828660437,Llama-2-7b-hf,en.layer1_NoQuant_32_32_0.01_8_0.0002_5Epochs,en.layer1,NoQuant,32,32,0.01,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_2_0.0002_5Epochs,2991,3929,6516,0.43222543352601156,0.3146102871568318,0.3641565714981433,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_2_0.0002_5Epochs,en.layer1,NoQuant,32,64,0.05,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_4_0.0002_5Epochs,2727,5597,4721,0.32760691975012013,0.3661385606874329,0.3458026883083946,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_4_0.0002_5Epochs,en.layer1,NoQuant,32,64,0.05,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.05_8_0.0002_5Epochs,1369,3894,6532,0.260117803534106,0.17326920642956586,0.20799149194773625,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.05_8_0.0002_5Epochs,en.layer1,NoQuant,32,64,0.05,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_2_0.0002_5Epochs,1879,3862,6563,0.32729489635951925,0.22257758824923005,0.2649650990622576,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_2_0.0002_5Epochs,en.layer1,NoQuant,32,64,0.01,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_4_0.0002_5Epochs,3069,5917,4287,0.3415312708657912,0.41721044045676997,0.3755966222004651,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_4_0.0002_5Epochs,en.layer1,NoQuant,32,64,0.01,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_32_64_0.01_8_0.0002_5Epochs,1349,3861,6583,0.25892514395393473,0.17007060010085728,0.2052959975650586,Llama-2-7b-hf,en.layer1_NoQuant_32_64_0.01_8_0.0002_5Epochs,en.layer1,NoQuant,32,64,0.01,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_2_0.0002_5Epochs,1423,3843,6589,0.2702240789973414,0.177608587119321,0.21433950896219311,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_2_0.0002_5Epochs,en.layer1,NoQuant,64,32,0.05,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_4_0.0002_5Epochs,2932,5626,4487,0.3426034120121524,0.39520150963741746,0.3670276021781311,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_4_0.0002_5Epochs,en.layer1,NoQuant,64,32,0.05,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.05_8_0.0002_5Epochs,1359,3869,6574,0.25994644223412394,0.17130971889575192,0.20651926145429678,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.05_8_0.0002_5Epochs,en.layer1,NoQuant,64,32,0.05,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_2_0.0002_5Epochs,1440,3903,6500,0.26951151038742277,0.181360201511335,0.21681848979899118,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_2_0.0002_5Epochs,en.layer1,NoQuant,64,32,0.01,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_4_0.0002_5Epochs,3046,5796,4262,0.3444921963356707,0.4168035030103996,0.37721362229102173,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_4_0.0002_5Epochs,en.layer1,NoQuant,64,32,0.01,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_32_0.01_8_0.0002_5Epochs,1403,3952,6429,0.2619981325863679,0.17913687436159345,0.21278531887464924,Llama-2-7b-hf,en.layer1_NoQuant_64_32_0.01_8_0.0002_5Epochs,en.layer1,NoQuant,64,32,0.01,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_2_0.0002_5Epochs,1540,4137,6177,0.2712700369913687,0.1995594142801607,0.22995371061669403,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_2_0.0002_5Epochs,en.layer1,NoQuant,64,64,0.05,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_4_0.0002_5Epochs,2918,5735,4294,0.33722408413267074,0.40460343871325566,0.36785376615190674,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_4_0.0002_5Epochs,en.layer1,NoQuant,64,64,0.05,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.05_8_0.0002_5Epochs,1481,4138,6172,0.26357003025449366,0.1935188814843852,0.22317661241711872,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.05_8_0.0002_5Epochs,en.layer1,NoQuant,64,64,0.05,8,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_2_0.0002_5Epochs,1632,4381,5787,0.2714119407949443,0.21997573797007683,0.24300178677784398,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_2_0.0002_5Epochs,en.layer1,NoQuant,64,64,0.01,2,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_4_0.0002_5Epochs,2644,5714,4350,0.3163436228762862,0.37803831855876463,0.3444502344971339,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_4_0.0002_5Epochs,en.layer1,NoQuant,64,64,0.01,4,0.0002,5Epochs
ferrazzipietro/LS_Llama-2-7b-hf_adapters_en.layer1_NoQuant_64_64_0.01_8_0.0002_5Epochs,1618,4454,5674,0.26646903820816864,0.22188699945145365,0.24214307093684526,Llama-2-7b-hf,en.layer1_NoQuant_64_64_0.01_8_0.0002_5Epochs,en.layer1,NoQuant,64,64,0.01,8,0.0002,5Epochs
