WARNING: grid.env NOT FOUND
NO Enviroment
Date: Mon 06 May 2024 01:09:38 PM UTC
Directory: /home/ferrazzi/llm/LS-LLaMA-E3C
This job will be executed on th following nodes: vgpu10-0

/home/ferrazzi/.conda/envs/gpu_venv_lates/bin/python
Python 3.8.18
{'loss': 2.4974, 'grad_norm': 21.75, 'learning_rate': 5e-05, 'epoch': 0.06}
{'eval_loss': 0.731478750705719, 'eval_runtime': 27.9066, 'eval_samples_per_second': 24.403, 'eval_steps_per_second': 12.219, 'epoch': 1.0}
{'loss': 0.7543, 'grad_norm': 14.125, 'learning_rate': 5e-05, 'epoch': 1.01}
{'loss': 0.8658, 'grad_norm': 12.9375, 'learning_rate': 5e-05, 'epoch': 1.07}
{'loss': 0.7424, 'grad_norm': 9.125, 'learning_rate': 5e-05, 'epoch': 1.13}
{'loss': 0.7362, 'grad_norm': 8.75, 'learning_rate': 5e-05, 'epoch': 1.19}
{'loss': 0.6965, 'grad_norm': 6.625, 'learning_rate': 5e-05, 'epoch': 1.25}
{'loss': 0.7179, 'grad_norm': 11.3125, 'learning_rate': 5e-05, 'epoch': 1.31}
{'loss': 0.7224, 'grad_norm': 9.4375, 'learning_rate': 5e-05, 'epoch': 1.37}
{'loss': 0.7079, 'grad_norm': 14.1875, 'learning_rate': 5e-05, 'epoch': 1.43}
{'loss': 0.5961, 'grad_norm': 5.125, 'learning_rate': 5e-05, 'epoch': 1.49}
{'loss': 0.6647, 'grad_norm': 9.25, 'learning_rate': 5e-05, 'epoch': 1.55}
{'loss': 0.6832, 'grad_norm': 9.5, 'learning_rate': 5e-05, 'epoch': 1.61}
{'loss': 0.626, 'grad_norm': 7.96875, 'learning_rate': 5e-05, 'epoch': 1.67}
{'loss': 0.6388, 'grad_norm': 8.125, 'learning_rate': 5e-05, 'epoch': 1.73}
{'loss': 0.6493, 'grad_norm': 14.6875, 'learning_rate': 5e-05, 'epoch': 1.79}
{'loss': 0.6138, 'grad_norm': 8.3125, 'learning_rate': 5e-05, 'epoch': 1.85}
{'loss': 0.7104, 'grad_norm': 10.0625, 'learning_rate': 5e-05, 'epoch': 1.91}
{'loss': 0.6556, 'grad_norm': 8.4375, 'learning_rate': 5e-05, 'epoch': 1.97}
{'eval_loss': 0.6179618239402771, 'eval_runtime': 28.1952, 'eval_samples_per_second': 24.153, 'eval_steps_per_second': 12.094, 'epoch': 2.0}
{'loss': 0.6658, 'grad_norm': 13.1875, 'learning_rate': 5e-05, 'epoch': 2.03}
{'loss': 0.5604, 'grad_norm': 6.65625, 'learning_rate': 5e-05, 'epoch': 2.09}
{'loss': 0.462, 'grad_norm': 8.1875, 'learning_rate': 5e-05, 'epoch': 2.15}
{'loss': 0.6053, 'grad_norm': 7.78125, 'learning_rate': 5e-05, 'epoch': 2.21}
{'loss': 0.6008, 'grad_norm': 4.46875, 'learning_rate': 5e-05, 'epoch': 2.27}
{'loss': 0.6, 'grad_norm': 12.9375, 'learning_rate': 5e-05, 'epoch': 2.33}
{'loss': 0.4762, 'grad_norm': 8.25, 'learning_rate': 5e-05, 'epoch': 2.39}
{'loss': 0.5267, 'grad_norm': 5.28125, 'learning_rate': 5e-05, 'epoch': 2.45}
{'loss': 0.5253, 'grad_norm': 5.8125, 'learning_rate': 5e-05, 'epoch': 2.51}
{'loss': 0.498, 'grad_norm': 8.6875, 'learning_rate': 5e-05, 'epoch': 2.57}
{'loss': 0.4815, 'grad_norm': 8.3125, 'learning_rate': 5e-05, 'epoch': 2.63}
{'loss': 0.4849, 'grad_norm': 7.78125, 'learning_rate': 5e-05, 'epoch': 2.69}
{'loss': 0.5061, 'grad_norm': 9.0, 'learning_rate': 5e-05, 'epoch': 2.75}
{'loss': 0.5742, 'grad_norm': 10.0, 'learning_rate': 5e-05, 'epoch': 2.81}
{'loss': 0.6328, 'grad_norm': 12.125, 'learning_rate': 5e-05, 'epoch': 2.87}
{'loss': 0.5325, 'grad_norm': 5.5625, 'learning_rate': 5e-05, 'epoch': 2.93}
{'loss': 0.4601, 'grad_norm': 6.53125, 'learning_rate': 5e-05, 'epoch': 2.99}
{'eval_loss': 0.5459332466125488, 'eval_runtime': 28.1187, 'eval_samples_per_second': 24.219, 'eval_steps_per_second': 12.127, 'epoch': 2.99}
{'train_runtime': 362.0955, 'train_samples_per_second': 5.543, 'train_steps_per_second': 1.384, 'train_loss': 0.8348300718737696, 'epoch': 2.99}
{'loss': 1.3822, 'grad_norm': 12.5625, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.2921, 'grad_norm': 10.625, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.1384, 'grad_norm': 13.0625, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.0858, 'grad_norm': 17.375, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.9339, 'grad_norm': 12.9375, 'learning_rate': 0.0002, 'epoch': 0.3}
{'loss': 0.9122, 'grad_norm': 17.375, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.79, 'grad_norm': 8.375, 'learning_rate': 0.0002, 'epoch': 0.42}
{'loss': 0.746, 'grad_norm': 9.125, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.9082, 'grad_norm': 14.625, 'learning_rate': 0.0002, 'epoch': 0.54}
{'loss': 0.8264, 'grad_norm': 9.125, 'learning_rate': 0.0002, 'epoch': 0.6}
{'loss': 0.7324, 'grad_norm': 12.9375, 'learning_rate': 0.0002, 'epoch': 0.66}
{'loss': 0.7424, 'grad_norm': 12.375, 'learning_rate': 0.0002, 'epoch': 0.72}
{'loss': 0.795, 'grad_norm': 9.1875, 'learning_rate': 0.0002, 'epoch': 0.78}
{'loss': 0.6846, 'grad_norm': 14.0, 'learning_rate': 0.0002, 'epoch': 0.84}
{'loss': 0.7635, 'grad_norm': 13.0, 'learning_rate': 0.0002, 'epoch': 0.9}
{'loss': 0.6698, 'grad_norm': 6.34375, 'learning_rate': 0.0002, 'epoch': 0.96}
{'eval_loss': 0.58863765001297, 'eval_runtime': 28.2991, 'eval_samples_per_second': 24.064, 'eval_steps_per_second': 12.05, 'epoch': 1.0}
{'loss': 0.5988, 'grad_norm': 6.875, 'learning_rate': 0.0002, 'epoch': 1.01}
{'loss': 0.6181, 'grad_norm': 7.53125, 'learning_rate': 0.0002, 'epoch': 1.07}
{'loss': 0.4539, 'grad_norm': 8.25, 'learning_rate': 0.0002, 'epoch': 1.13}
{'loss': 0.5318, 'grad_norm': 9.125, 'learning_rate': 0.0002, 'epoch': 1.19}
{'loss': 0.5031, 'grad_norm': 5.5625, 'learning_rate': 0.0002, 'epoch': 1.25}
{'loss': 0.5714, 'grad_norm': 9.125, 'learning_rate': 0.0002, 'epoch': 1.31}
{'loss': 0.5093, 'grad_norm': 6.84375, 'learning_rate': 0.0002, 'epoch': 1.37}
{'loss': 0.5699, 'grad_norm': 4.8125, 'learning_rate': 0.0002, 'epoch': 1.43}
{'loss': 0.4879, 'grad_norm': 9.1875, 'learning_rate': 0.0002, 'epoch': 1.49}
{'loss': 0.5048, 'grad_norm': 4.84375, 'learning_rate': 0.0002, 'epoch': 1.55}
{'loss': 0.5139, 'grad_norm': 4.75, 'learning_rate': 0.0002, 'epoch': 1.61}
{'loss': 0.4968, 'grad_norm': 6.40625, 'learning_rate': 0.0002, 'epoch': 1.67}
{'loss': 0.4449, 'grad_norm': 4.21875, 'learning_rate': 0.0002, 'epoch': 1.73}
{'loss': 0.5631, 'grad_norm': 4.5, 'learning_rate': 0.0002, 'epoch': 1.79}
{'loss': 0.5094, 'grad_norm': 4.4375, 'learning_rate': 0.0002, 'epoch': 1.85}
{'loss': 0.55, 'grad_norm': 4.21875, 'learning_rate': 0.0002, 'epoch': 1.91}
{'loss': 0.5299, 'grad_norm': 4.3125, 'learning_rate': 0.0002, 'epoch': 1.97}
{'eval_loss': 0.5466623902320862, 'eval_runtime': 28.1483, 'eval_samples_per_second': 24.193, 'eval_steps_per_second': 12.114, 'epoch': 2.0}
{'loss': 0.4583, 'grad_norm': 6.28125, 'learning_rate': 0.0002, 'epoch': 2.03}
{'loss': 0.3765, 'grad_norm': 5.59375, 'learning_rate': 0.0002, 'epoch': 2.09}
{'loss': 0.3144, 'grad_norm': 6.71875, 'learning_rate': 0.0002, 'epoch': 2.15}
{'loss': 0.4455, 'grad_norm': 5.21875, 'learning_rate': 0.0002, 'epoch': 2.21}
{'loss': 0.3997, 'grad_norm': 3.515625, 'learning_rate': 0.0002, 'epoch': 2.27}
{'loss': 0.4376, 'grad_norm': 7.6875, 'learning_rate': 0.0002, 'epoch': 2.33}
{'loss': 0.3593, 'grad_norm': 9.6875, 'learning_rate': 0.0002, 'epoch': 2.39}
{'loss': 0.3872, 'grad_norm': 3.28125, 'learning_rate': 0.0002, 'epoch': 2.45}
{'loss': 0.3196, 'grad_norm': 3.609375, 'learning_rate': 0.0002, 'epoch': 2.51}
{'loss': 0.4087, 'grad_norm': 5.4375, 'learning_rate': 0.0002, 'epoch': 2.57}
{'loss': 0.351, 'grad_norm': 5.90625, 'learning_rate': 0.0002, 'epoch': 2.63}
{'loss': 0.3709, 'grad_norm': 7.03125, 'learning_rate': 0.0002, 'epoch': 2.69}
{'loss': 0.3195, 'grad_norm': 4.6875, 'learning_rate': 0.0002, 'epoch': 2.75}
{'loss': 0.4546, 'grad_norm': 6.4375, 'learning_rate': 0.0002, 'epoch': 2.81}
{'loss': 0.4553, 'grad_norm': 4.375, 'learning_rate': 0.0002, 'epoch': 2.87}
{'loss': 0.385, 'grad_norm': 4.78125, 'learning_rate': 0.0002, 'epoch': 2.93}
{'loss': 0.3147, 'grad_norm': 4.125, 'learning_rate': 0.0002, 'epoch': 2.99}
{'eval_loss': 0.6099816560745239, 'eval_runtime': 28.1111, 'eval_samples_per_second': 24.225, 'eval_steps_per_second': 12.13, 'epoch': 2.99}
{'train_runtime': 358.9552, 'train_samples_per_second': 5.591, 'train_steps_per_second': 1.396, 'train_loss': 0.5978654504060269, 'epoch': 2.99}
{'loss': 1.503, 'grad_norm': 10.5, 'learning_rate': 5e-05, 'epoch': 0.12}
{'loss': 1.4824, 'grad_norm': 11.9375, 'learning_rate': 5e-05, 'epoch': 0.24}
{'loss': 1.4704, 'grad_norm': 15.375, 'learning_rate': 5e-05, 'epoch': 0.36}
{'loss': 1.2335, 'grad_norm': 13.1875, 'learning_rate': 5e-05, 'epoch': 0.48}
{'loss': 1.287, 'grad_norm': 10.9375, 'learning_rate': 5e-05, 'epoch': 0.6}
{'loss': 1.2046, 'grad_norm': 9.375, 'learning_rate': 5e-05, 'epoch': 0.72}
{'loss': 1.1554, 'grad_norm': 11.3125, 'learning_rate': 5e-05, 'epoch': 0.84}
{'loss': 1.1453, 'grad_norm': 9.6875, 'learning_rate': 5e-05, 'epoch': 0.96}
{'eval_loss': 0.9360200762748718, 'eval_runtime': 28.2775, 'eval_samples_per_second': 24.083, 'eval_steps_per_second': 12.059, 'epoch': 0.99}
{'loss': 0.9677, 'grad_norm': 7.375, 'learning_rate': 5e-05, 'epoch': 1.07}
{'loss': 0.9339, 'grad_norm': 8.5, 'learning_rate': 5e-05, 'epoch': 1.19}
{'loss': 0.8898, 'grad_norm': 9.5, 'learning_rate': 5e-05, 'epoch': 1.31}
{'loss': 0.87, 'grad_norm': 10.5, 'learning_rate': 5e-05, 'epoch': 1.43}
{'loss': 0.7387, 'grad_norm': 7.09375, 'learning_rate': 5e-05, 'epoch': 1.55}
{'loss': 0.751, 'grad_norm': 6.40625, 'learning_rate': 5e-05, 'epoch': 1.67}
{'loss': 0.7302, 'grad_norm': 6.625, 'learning_rate': 5e-05, 'epoch': 1.79}
{'loss': 0.7615, 'grad_norm': 14.125, 'learning_rate': 5e-05, 'epoch': 1.91}
{'eval_loss': 0.707452118396759, 'eval_runtime': 28.1238, 'eval_samples_per_second': 24.214, 'eval_steps_per_second': 12.125, 'epoch': 1.99}
{'loss': 0.7885, 'grad_norm': 14.5, 'learning_rate': 5e-05, 'epoch': 2.03}
{'loss': 0.6188, 'grad_norm': 7.03125, 'learning_rate': 5e-05, 'epoch': 2.15}
{'loss': 0.6604, 'grad_norm': 5.71875, 'learning_rate': 5e-05, 'epoch': 2.27}
{'loss': 0.6218, 'grad_norm': 6.78125, 'learning_rate': 5e-05, 'epoch': 2.39}
{'loss': 0.5995, 'grad_norm': 8.4375, 'learning_rate': 5e-05, 'epoch': 2.51}
{'loss': 0.5682, 'grad_norm': 5.65625, 'learning_rate': 5e-05, 'epoch': 2.63}
{'loss': 0.5697, 'grad_norm': 8.375, 'learning_rate': 5e-05, 'epoch': 2.75}
{'loss': 0.6458, 'grad_norm': 9.4375, 'learning_rate': 5e-05, 'epoch': 2.87}
{'eval_loss': 0.5690126419067383, 'eval_runtime': 28.0974, 'eval_samples_per_second': 24.237, 'eval_steps_per_second': 12.136, 'epoch': 2.97}
{'train_runtime': 353.8015, 'train_samples_per_second': 5.673, 'train_steps_per_second': 0.704, 'train_loss': 0.912326919984626, 'epoch': 2.97}
{'loss': 1.382, 'grad_norm': 9.5625, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.2367, 'grad_norm': 10.875, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 1.0873, 'grad_norm': 11.25, 'learning_rate': 0.0002, 'epoch': 0.36}
{'loss': 0.9055, 'grad_norm': 7.0625, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.9242, 'grad_norm': 12.875, 'learning_rate': 0.0002, 'epoch': 0.6}
{'loss': 0.7812, 'grad_norm': 10.25, 'learning_rate': 0.0002, 'epoch': 0.72}
{'loss': 0.7676, 'grad_norm': 8.6875, 'learning_rate': 0.0002, 'epoch': 0.84}
{'loss': 0.7303, 'grad_norm': 10.375, 'learning_rate': 0.0002, 'epoch': 0.96}
{'eval_loss': 0.6108180284500122, 'eval_runtime': 28.2824, 'eval_samples_per_second': 24.079, 'eval_steps_per_second': 12.057, 'epoch': 0.99}
{'loss': 0.7051, 'grad_norm': 10.9375, 'learning_rate': 0.0002, 'epoch': 1.07}
{'loss': 0.5631, 'grad_norm': 9.5, 'learning_rate': 0.0002, 'epoch': 1.19}
{'loss': 0.6059, 'grad_norm': 4.625, 'learning_rate': 0.0002, 'epoch': 1.31}
{'loss': 0.5779, 'grad_norm': 8.6875, 'learning_rate': 0.0002, 'epoch': 1.43}
{'loss': 0.525, 'grad_norm': 5.90625, 'learning_rate': 0.0002, 'epoch': 1.55}
{'loss': 0.5447, 'grad_norm': 3.875, 'learning_rate': 0.0002, 'epoch': 1.67}
{'loss': 0.5428, 'grad_norm': 6.96875, 'learning_rate': 0.0002, 'epoch': 1.79}
{'loss': 0.5967, 'grad_norm': 9.8125, 'learning_rate': 0.0002, 'epoch': 1.91}
{'eval_loss': 0.6561092138290405, 'eval_runtime': 28.1274, 'eval_samples_per_second': 24.211, 'eval_steps_per_second': 12.123, 'epoch': 1.99}
{'loss': 0.6102, 'grad_norm': 5.3125, 'learning_rate': 0.0002, 'epoch': 2.03}
{'loss': 0.4251, 'grad_norm': 3.34375, 'learning_rate': 0.0002, 'epoch': 2.15}
{'loss': 0.4115, 'grad_norm': 3.203125, 'learning_rate': 0.0002, 'epoch': 2.27}
{'loss': 0.4144, 'grad_norm': 3.78125, 'learning_rate': 0.0002, 'epoch': 2.39}
{'loss': 0.3565, 'grad_norm': 5.71875, 'learning_rate': 0.0002, 'epoch': 2.51}
{'loss': 0.4235, 'grad_norm': 5.5625, 'learning_rate': 0.0002, 'epoch': 2.63}
{'loss': 0.3999, 'grad_norm': 3.40625, 'learning_rate': 0.0002, 'epoch': 2.75}
{'loss': 0.4847, 'grad_norm': 5.90625, 'learning_rate': 0.0002, 'epoch': 2.87}
{'eval_loss': 0.5464259386062622, 'eval_runtime': 28.0909, 'eval_samples_per_second': 24.243, 'eval_steps_per_second': 12.139, 'epoch': 2.97}
{'train_runtime': 353.909, 'train_samples_per_second': 5.671, 'train_steps_per_second': 0.704, 'train_loss': 0.6565542039143513, 'epoch': 2.97}
{'loss': 1.5261, 'grad_norm': 10.6875, 'learning_rate': 5e-05, 'epoch': 0.24}
{'loss': 1.4286, 'grad_norm': 10.9375, 'learning_rate': 5e-05, 'epoch': 0.48}
{'loss': 1.3576, 'grad_norm': 8.6875, 'learning_rate': 5e-05, 'epoch': 0.72}
{'loss': 1.3, 'grad_norm': 7.25, 'learning_rate': 5e-05, 'epoch': 0.96}
{'eval_loss': 1.1277587413787842, 'eval_runtime': 28.2587, 'eval_samples_per_second': 24.099, 'eval_steps_per_second': 12.067, 'epoch': 0.98}
{'loss': 1.15, 'grad_norm': 8.5625, 'learning_rate': 5e-05, 'epoch': 1.19}
{'loss': 1.0959, 'grad_norm': 8.9375, 'learning_rate': 5e-05, 'epoch': 1.43}
{'loss': 0.9529, 'grad_norm': 6.84375, 'learning_rate': 5e-05, 'epoch': 1.67}
{'loss': 0.9003, 'grad_norm': 5.53125, 'learning_rate': 5e-05, 'epoch': 1.91}
{'eval_loss': 0.8061352372169495, 'eval_runtime': 28.118, 'eval_samples_per_second': 24.219, 'eval_steps_per_second': 12.127, 'epoch': 1.98}
{'loss': 0.8409, 'grad_norm': 4.46875, 'learning_rate': 5e-05, 'epoch': 2.15}
{'loss': 0.7946, 'grad_norm': 5.4375, 'learning_rate': 5e-05, 'epoch': 2.39}
{'loss': 0.7288, 'grad_norm': 5.1875, 'learning_rate': 5e-05, 'epoch': 2.63}
{'loss': 0.7143, 'grad_norm': 7.09375, 'learning_rate': 5e-05, 'epoch': 2.87}
{'eval_loss': 0.6454809904098511, 'eval_runtime': 28.0985, 'eval_samples_per_second': 24.236, 'eval_steps_per_second': 12.136, 'epoch': 2.94}
{'train_runtime': 350.0146, 'train_samples_per_second': 5.734, 'train_steps_per_second': 0.351, 'train_loss': 1.0570392938164193, 'epoch': 2.94}
{'loss': 1.3751, 'grad_norm': 8.375, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 1.1013, 'grad_norm': 8.5625, 'learning_rate': 0.0002, 'epoch': 0.48}
{'loss': 0.9544, 'grad_norm': 8.8125, 'learning_rate': 0.0002, 'epoch': 0.72}
{'loss': 0.8403, 'grad_norm': 9.875, 'learning_rate': 0.0002, 'epoch': 0.96}
{'eval_loss': 0.6844695210456848, 'eval_runtime': 28.2476, 'eval_samples_per_second': 24.108, 'eval_steps_per_second': 12.072, 'epoch': 0.98}
{'loss': 0.703, 'grad_norm': 9.9375, 'learning_rate': 0.0002, 'epoch': 1.19}
{'loss': 0.6513, 'grad_norm': 6.28125, 'learning_rate': 0.0002, 'epoch': 1.43}
{'loss': 0.6015, 'grad_norm': 5.78125, 'learning_rate': 0.0002, 'epoch': 1.67}
{'loss': 0.6108, 'grad_norm': 5.875, 'learning_rate': 0.0002, 'epoch': 1.91}
{'eval_loss': 0.6003296971321106, 'eval_runtime': 28.1273, 'eval_samples_per_second': 24.211, 'eval_steps_per_second': 12.123, 'epoch': 1.98}
{'loss': 0.563, 'grad_norm': 3.984375, 'learning_rate': 0.0002, 'epoch': 2.15}
{'loss': 0.4977, 'grad_norm': 5.15625, 'learning_rate': 0.0002, 'epoch': 2.39}
{'loss': 0.4408, 'grad_norm': 2.953125, 'learning_rate': 0.0002, 'epoch': 2.63}
{'loss': 0.498, 'grad_norm': 3.03125, 'learning_rate': 0.0002, 'epoch': 2.87}
{'eval_loss': 0.5559042692184448, 'eval_runtime': 28.1237, 'eval_samples_per_second': 24.214, 'eval_steps_per_second': 12.125, 'epoch': 2.94}
{'train_runtime': 349.6533, 'train_samples_per_second': 5.74, 'train_steps_per_second': 0.352, 'train_loss': 0.7293092186858015, 'epoch': 2.94}
{'loss': 1.5244, 'grad_norm': 16.875, 'learning_rate': 5e-05, 'epoch': 0.06}
{'loss': 1.4996, 'grad_norm': 14.3125, 'learning_rate': 5e-05, 'epoch': 0.12}
{'loss': 1.3933, 'grad_norm': 14.0, 'learning_rate': 5e-05, 'epoch': 0.18}
{'loss': 1.4436, 'grad_norm': 17.625, 'learning_rate': 5e-05, 'epoch': 0.24}
{'loss': 1.3451, 'grad_norm': 17.125, 'learning_rate': 5e-05, 'epoch': 0.3}
{'loss': 1.3024, 'grad_norm': 20.25, 'learning_rate': 5e-05, 'epoch': 0.36}
{'loss': 1.1474, 'grad_norm': 15.25, 'learning_rate': 5e-05, 'epoch': 0.42}
{'loss': 1.0576, 'grad_norm': 11.9375, 'learning_rate': 5e-05, 'epoch': 0.48}
{'loss': 1.2469, 'grad_norm': 8.9375, 'learning_rate': 5e-05, 'epoch': 0.54}
{'loss': 1.2294, 'grad_norm': 13.0625, 'learning_rate': 5e-05, 'epoch': 0.6}
{'loss': 0.9689, 'grad_norm': 14.375, 'learning_rate': 5e-05, 'epoch': 0.66}
{'loss': 1.037, 'grad_norm': 12.0, 'learning_rate': 5e-05, 'epoch': 0.72}
{'loss': 0.9731, 'grad_norm': 9.9375, 'learning_rate': 5e-05, 'epoch': 0.78}
{'loss': 0.9282, 'grad_norm': 14.1875, 'learning_rate': 5e-05, 'epoch': 0.84}
{'loss': 1.0053, 'grad_norm': 15.9375, 'learning_rate': 5e-05, 'epoch': 0.9}
{'loss': 0.9273, 'grad_norm': 11.25, 'learning_rate': 5e-05, 'epoch': 0.96}
{'eval_loss': 0.7257310152053833, 'eval_runtime': 28.2619, 'eval_samples_per_second': 24.096, 'eval_steps_per_second': 12.066, 'epoch': 1.0}
{'loss': 0.7676, 'grad_norm': 6.8125, 'learning_rate': 5e-05, 'epoch': 1.01}
{'loss': 0.7928, 'grad_norm': 15.375, 'learning_rate': 5e-05, 'epoch': 1.07}
{'loss': 0.7284, 'grad_norm': 11.8125, 'learning_rate': 5e-05, 'epoch': 1.13}
{'loss': 0.7388, 'grad_norm': 14.0, 'learning_rate': 5e-05, 'epoch': 1.19}
{'loss': 0.714, 'grad_norm': 11.5625, 'learning_rate': 5e-05, 'epoch': 1.25}
{'loss': 0.7444, 'grad_norm': 8.5, 'learning_rate': 5e-05, 'epoch': 1.31}
{'loss': 0.7241, 'grad_norm': 10.375, 'learning_rate': 5e-05, 'epoch': 1.37}
{'loss': 0.7027, 'grad_norm': 11.4375, 'learning_rate': 5e-05, 'epoch': 1.43}
{'loss': 0.5994, 'grad_norm': 10.6875, 'learning_rate': 5e-05, 'epoch': 1.49}
{'loss': 0.6266, 'grad_norm': 9.5625, 'learning_rate': 5e-05, 'epoch': 1.55}
{'loss': 0.6624, 'grad_norm': 8.8125, 'learning_rate': 5e-05, 'epoch': 1.61}
{'loss': 0.6149, 'grad_norm': 6.375, 'learning_rate': 5e-05, 'epoch': 1.67}
{'loss': 0.5855, 'grad_norm': 10.125, 'learning_rate': 5e-05, 'epoch': 1.73}
{'loss': 0.6657, 'grad_norm': 7.71875, 'learning_rate': 5e-05, 'epoch': 1.79}
{'loss': 0.6303, 'grad_norm': 6.15625, 'learning_rate': 5e-05, 'epoch': 1.85}
{'loss': 0.6952, 'grad_norm': 9.0, 'learning_rate': 5e-05, 'epoch': 1.91}
{'loss': 0.6382, 'grad_norm': 8.875, 'learning_rate': 5e-05, 'epoch': 1.97}
{'eval_loss': 0.6371395587921143, 'eval_runtime': 28.112, 'eval_samples_per_second': 24.225, 'eval_steps_per_second': 12.13, 'epoch': 2.0}
{'loss': 0.6109, 'grad_norm': 12.9375, 'learning_rate': 5e-05, 'epoch': 2.03}
{'loss': 0.5393, 'grad_norm': 7.34375, 'learning_rate': 5e-05, 'epoch': 2.09}
{'loss': 0.4915, 'grad_norm': 9.1875, 'learning_rate': 5e-05, 'epoch': 2.15}
{'loss': 0.6336, 'grad_norm': 7.6875, 'learning_rate': 5e-05, 'epoch': 2.21}
{'loss': 0.5636, 'grad_norm': 4.71875, 'learning_rate': 5e-05, 'epoch': 2.27}
{'loss': 0.5477, 'grad_norm': 6.9375, 'learning_rate': 5e-05, 'epoch': 2.33}
{'loss': 0.4841, 'grad_norm': 9.75, 'learning_rate': 5e-05, 'epoch': 2.39}
{'loss': 0.513, 'grad_norm': 5.5625, 'learning_rate': 5e-05, 'epoch': 2.45}
{'loss': 0.4849, 'grad_norm': 5.5625, 'learning_rate': 5e-05, 'epoch': 2.51}
{'loss': 0.4927, 'grad_norm': 9.375, 'learning_rate': 5e-05, 'epoch': 2.57}
{'loss': 0.4441, 'grad_norm': 7.46875, 'learning_rate': 5e-05, 'epoch': 2.63}
{'loss': 0.5323, 'grad_norm': 9.6875, 'learning_rate': 5e-05, 'epoch': 2.69}
{'loss': 0.4354, 'grad_norm': 8.4375, 'learning_rate': 5e-05, 'epoch': 2.75}
{'loss': 0.5968, 'grad_norm': 11.875, 'learning_rate': 5e-05, 'epoch': 2.81}
{'loss': 0.5553, 'grad_norm': 10.125, 'learning_rate': 5e-05, 'epoch': 2.87}
{'loss': 0.5375, 'grad_norm': 6.46875, 'learning_rate': 5e-05, 'epoch': 2.93}
{'loss': 0.4771, 'grad_norm': 5.96875, 'learning_rate': 5e-05, 'epoch': 2.99}
{'eval_loss': 0.5621639490127563, 'eval_runtime': 28.1042, 'eval_samples_per_second': 24.231, 'eval_steps_per_second': 12.133, 'epoch': 2.99}
{'train_runtime': 358.2125, 'train_samples_per_second': 5.603, 'train_steps_per_second': 1.399, 'train_loss': 0.7913139744433101, 'epoch': 2.99}
{'loss': 1.3827, 'grad_norm': 12.5625, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 1.2934, 'grad_norm': 10.6875, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.1383, 'grad_norm': 13.0, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.0818, 'grad_norm': 17.75, 'learning_rate': 0.0002, 'epoch': 0.24}
{'loss': 0.9262, 'grad_norm': 12.8125, 'learning_rate': 0.0002, 'epoch': 0.3}
