entity_group,score,word,start,end
I,0.89021254,antin,29,35
B,0.9399135,lear,37,41
B,0.99970335,ies,49,52
B,0.89266306,iter of 1:1,54,65
B,0.70551825,"0,",67,69
I,0.8498392,anti-,78,84
B,0.9603493,anti,91,96
I,0.734677,-,96,97
B,0.8412467,odies,105,110
B,0.75210017,em,129,131
B,0.7977203,The,0,3
I,0.83307296,patient,3,11
B,0.70298,started,15,23
B,0.7269349,therapy,38,46
B,0.5786971,6,93,95
I,0.6904633,0mg,95,98
B,0.5197059,p,3,5
B,0.76926374,explored,16,25
I,0.57848424,omentum,49,57
B,0.75414294,surgery,9,17
B,0.55520326,the,18,22
I,0.7444115,patient,22,30
B,0.56488234,w,36,37
I,0.6750595,cycles,45,52
B,0.6905182,cycl,71,76
I,0.4897009,oph,76,79
B,0.603002,am,83,85
I,0.70293003,cycles,99,106
B,0.7321298,paclit,109,116
B,0.6195454,chem,120,125
B,0.6703125,ref,3,7
B,0.7210464,error,14,20
B,0.5972163,rop,35,38
I,0.5279452,diopters,49,58
I,0.77048916,eye,66,70
I,0.39296013,,1,2
B,0.46827772,6,2,3
I,0.8162394,2-year-old woman,3,19
B,0.9226646,presented,19,29
B,0.5985073,complaints,34,45
B,0.59269494,epig,48,53
B,0.4612182,pain,59,64
B,0.71174777,vomiting,68,77
B,0.5958245,signs,8,14
B,0.61725396,examination,17,29
B,0.5609058,pall,43,48
I,0.5251571,or,48,50
B,0.6000066,jau,66,70
I,0.4617353,ndice,70,75
B,0.78329027,His,0,3
I,0.83103675,parents,3,11
B,0.6720362,noted,15,21
B,0.59793925,trauma,30,37
B,0.5016061,the,40,44
I,0.64596677,previous week,44,58
I,0.54505014,osterior,7,15
I,0.50750244,cerv,46,51
I,0.64740175,spine,55,61
B,0.8933964,show,61,66
I,0.6120281,left spin,79,89
I,0.50710195,neck,107,112
I,0.569967,vertebrae.,131,142
B,0.6022716,lesions,50,58
I,0.6924237,mid portion,65,77
I,0.7095608,Left,84,89
B,0.6752582,,5,6
I,0.6841371,8 hours,7,14
I,0.4155987,labour,18,25
B,0.5553669,proceed,35,43
B,0.67764324,ation,68,73
B,0.753908,,76,77
I,0.6629631,cm,78,81
B,0.6918635,head,91,96
I,0.41295895,,96,97
B,0.68337476,trace revealed,130,145
B,0.8199149,,166,167
I,0.89666945,hour,168,173
B,0.569581,shift,185,191
I,0.59851474,section,207,215
B,0.83950734,progression,16,28
B,0.6777252,start,34,40
B,0.50421256,administration,53,68
B,0.79841053,6,83,85
I,0.87794137, months,85,92
B,0.7459152,changed,112,120
B,0.65043736,otherapy,127,135
I,0.5000375,ib,148,150
I,0.71053946,T,159,161
B,0.56157464,predicted,163,173
I,0.58595395,patient,198,206
B,0.60093904,lesion,3,10
B,0.5561671,located,14,22
I,0.5233041,fem,29,33
I,0.6728524,region,37,44
I,0.8219387,right lower extremity,51,73
B,0.64095753,resected,88,97
B,0.63607174,work,116,121
B,0.44063118,ops,141,144
B,0.7202087,examinations,145,158
I,0.50613445,muc,7,11
B,0.48119915,osa,11,14
B,0.722457,vision,44,51
B,0.6434269,retrovision,58,70
I,0.709841,bulb,75,80
B,0.55303437,duod,84,89
I,0.4769314,enum,89,93
B,0.62063164,normal,98,105
B,0.7921206,testing showed,12,27
B,0.57397294,corrected,34,44
B,0.50056666,met,54,58
I,0.44776642,acidosis,64,73
I,0.55816245,em,88,90
B,0.7921218,,95,96
I,0.7263435,mmol,97,102
B,0.44727287,la,115,118
B,0.39316693,atem,120,124
B,0.73603684,,129,130
I,0.7206936,mmol,134,139
I,0.46107364,.,141,142
B,0.8769724,diagnosis,7,17
B,0.5244103,parat,20,26
I,0.56868047,ubal borderline ser,26,45
B,0.5618963,tumor,48,54
B,0.8955635,confirmed,58,68
B,0.61154854,work,10,15
B,0.6740725,elev,27,32
B,0.7441804,C-,36,39
B,0.7788856,protein,47,55
I,0.5909958,(,55,57
B,0.61877555,P,59,60
I,0.5665334,5,68,69
B,0.6619223,cal,87,90
I,0.73001045,(,97,99
I,0.6279839,4,102,103
I,0.8023165,/,106,107
I,0.47972953,blood,117,123
B,0.66569173,0 (,138,141
I,0.66841996,l,163,165
B,0.9319864,ymphocy,165,172
B,0.6498089,,178,179
B,0.9186044,thrombocytopen,188,203
I,0.98489493,f,213,215
B,0.71524954,itinem,218,224
I,0.62175035,f,227,229
B,0.7369077,ogen,234,238
B,0.73449636,elev,245,250
B,0.7686982,5,257,259
B,0.42465398,3,260,261
I,0.9350324,7,261,262
B,0.82592803,-,277,278
I,0.48525292,dim,278,281
B,0.97466487,He,0,2
B,0.95863265,returned,6,15
B,0.75696087,two,43,47
I,0.9593162,days,47,52
B,0.96848977,She,0,3
B,0.8376099,born,7,12
B,0.8925312,pregnancy,47,57
B,0.76598287,the,70,74
I,0.97093844,mother,74,81
I,0.5400589,ultrasound,97,108
B,0.69536304,ens showed,23,33
I,0.72902286,cell l,43,50
B,0.48498046,ym,50,52
I,0.6972894,ph,52,54
B,0.51845944,tum,3,7
I,0.58042127,or,7,9
B,0.5981694,showed,15,22
B,0.78915906,ypism,33,38
B,0.6452994,stratification,42,57
B,0.8529538,hist,68,73
B,0.4218628,border,100,107
I,0.6605739,tumor,111,117
B,0.6660423,progression,22,34
B,0.6776728,RECIST,47,54
B,0.5823762,ination,77,84
B,0.8031017,en,93,95
B,0.56284946,hand,127,132
I,0.61053085,-foot,132,137
I,0.51231927,ter,6,9
B,0.63422894,kept blood,24,35
B,0.5184611,ufflation,52,61
B,0.67985064,impro,68,74
B,0.65059334,blow-m,79,86
B,0.7236189,urettage,1,9
B,0.7399224,irrigation,13,24
B,0.6520788,closed,58,65
B,0.4563281,ction dr,73,81
B,0.65935683,informed,21,30
B,0.57010275,res,83,86
B,0.8577321,hist,3,8
B,0.5356273,tum,25,29
B,0.56218636,trabec,61,68
I,0.45348883,l,97,99
B,0.59063816,ym,99,101
B,0.7767111,st,106,109
B,0.7489534,ray showed distension,12,33
I,0.8183576,left lumbar region,62,81
B,0.83578795,review,14,21
B,0.74887896,syn,48,52
I,0.379892,ch,57,60
B,0.6563205,Three,0,5
I,0.94916904,years,5,11
B,0.87610865,removal,17,25
B,0.6274081,lens,32,37
B,0.59364015,the,38,42
I,0.86653286,patient,42,50
B,0.75806606,complic,67,75
B,0.60760707,osis,95,99
I,0.56485856,eyes,4,9
B,0.60356575,double,14,21
B,0.6051314,ted,26,29
B,0.81206447,lid,35,39
I,0.6811809,eyeballs,94,103
B,0.75076705,chemotherapy,18,31
B,0.63143986,surgery,47,55
I,0.5078674,time,66,71
I,0.72433823,writing,74,82
B,0.9943773,cycl,112,117
B,0.72172177,am,124,126
B,0.54575026,x,133,134
B,0.56202,in,140,142
B,0.99881625,inc,148,151
B,0.6064514,rophy,48,53
I,0.654673,muscle fibers,63,77
I,0.8413161,patient,3,11
I,0.5091443,w,17,18
B,0.72901416,end,21,25
I,0.7407225,os,25,27
B,0.5293828,cop,27,30
B,0.68143153,uc,34,36
B,0.69763076,resection,40,50
B,0.61580545,l,63,65
B,0.502237,rett,122,126
B,0.6598161,rest,3,8
I,0.7735177,abdom,15,21
I,0.5100158,org,25,29
B,0.53780556,ment,38,42
B,0.8909259,She,0,3
B,0.9198711,managed,7,15
B,0.48309663,anal,20,25
B,0.85740745,ia,28,30
B,0.7073801,uro,33,36
B,0.8285098,spironol,43,52
B,0.60949445,one,55,58
B,0.8886642,am,64,66
B,0.62989706,added,73,79
B,0.92084056,prevention,83,94
B,0.70173454,mother,97,104
B,0.81579685,mission,118,125
B,0.5130045,pat,135,138
B,0.88966286,invasion,23,32
B,0.8981182,seen,36,41
B,0.9473381,She,0,3
B,0.7070831,treated,7,15
B,0.5844988,aven,25,29
B,0.4641667,immun,32,38
B,0.82365245,recovery,73,82
B,0.7319282,examination,23,35
B,0.742736,im,43,45
B,0.7091304,revealed,48,57
B,0.5275503,nod,75,79
I,0.63131976,5,95,96
B,0.5013868,largest,106,114
B,0.81184894,consulted,15,25
I,0.52566016,blood film,40,51
I,0.6576553,mar,60,64
B,0.4619859,row aspir,64,73
B,0.9721459,history,24,32
B,0.90874344,diagnosed,41,51
I,0.79190433,[,71,73
B,0.7753188,ate,75,78
I,0.80954444,(,82,84
B,0.7303137,3000-,89,95
B,0.67272824,0,98,99
I,0.78438306,/,99,100
B,0.57515603,10,103,106
B,0.83340645,copy showed,5,16
I,0.4279616,ampull,25,32
B,0.6233084,enlarged,46,55
I,0.59914064,tumor,71,77
B,0.62383676,17,2,4
I,0.940972,months girl,4,16
B,0.8275974,consult,26,34
B,0.7835502,constipation,100,113
B,0.719182,loss,117,122
B,0.51865846,appetite,125,134
B,0.4476415,she,141,145
B,0.8376978,six,149,153
I,0.74627274,patient,35,43
B,0.6642148,ref,82,86
B,0.7267391,ombs test,6,15
B,0.6896154,positive,19,28
B,0.87510604,mark,25,30
B,0.83131504,checked,38,46
B,0.6274174,three,52,58
I,0.682531,months,58,65
B,0.7003087,spleen,3,10
B,0.77410007,palpable,18,27
B,0.6615604,ascites,54,62
B,0.7913604,biped,66,72
B,0.40624768,eod,74,78
I,0.87614006,mid shin,91,100
B,0.49275884,tum,27,31
B,0.3927796,mel,70,74
I,0.5988238,ophag,119,124
I,0.6823875,dys,142,146
B,0.4718733,son,9,13
B,0.52491105,2,34,36
I,0.8545441,months,36,43
B,0.7041414,drainage showed,53,69
B,0.49549544,normal,80,87
I,0.67931014,liver parenchy,87,102
I,0.79283977,liver cavities,125,140
B,0.5718255,peat,2,6
B,0.47384977,i,19,20
B,0.64400476,patent,69,76
B,0.4321785,les,106,110
B,0.38338006,our,7,10
B,0.43064088,des,40,43
B,0.58211905,MA,49,51
B,0.6497655,des,52,56
B,0.59276885,epit,102,107
B,0.47782737,lym,114,118
B,0.72475076,mel,127,131
B,0.89126194,examination,8,20
B,0.73774415,unrevealing,36,48
I,0.8181725,liver,3,9
B,0.8264853,hard,13,18
B,0.7685079,nod,19,23
B,0.58854586,edge,42,47
B,0.65286094,tendernes,53,63
B,0.6862627,b,73,75
B,0.76745105,agnostic assessment,2,21
B,0.8619936,hemog,26,32
B,0.5034398,,41,42
I,0.58907366,5,44,45
I,0.55497956,/,47,48
I,0.45305955,blood,61,67
B,0.60306156,18,82,85
I,0.7822345,0/mm,87,91
B,0.67827797,3,92,93
B,0.6329888,C-,102,105
I,0.6378487,(,121,123
B,0.71237254,,131,132
I,0.594677,mm/,134,138
B,0.7529359,failure,19,27
B,0.7370735,bleeding,100,109
I,0.45041865,enlarg,109,116
I,0.77735347,vessels,118,126
B,0.6738577,ography examination,12,31
B,0.80524814,depicted,38,47
B,0.82083905,con,52,56
B,0.59723765,showed,83,90
B,0.49732926,is,109,111
I,0.8636259,posterior arch,120,135
B,0.8780014,spin,154,159
B,0.53713965,process,162,170
I,0.60248446,side,200,205
I,0.39137796,fib,1,5
B,0.42885274,pseudo,9,16
B,0.4603603,capsule,17,24
B,0.8470703,noted,28,34
B,0.42197725,tumour,45,52
B,0.5882726,resection,60,70
I,0.48075768,tum,77,81
B,0.67065954,hospital,13,22
B,0.88752824,gen,160,163
B,0.9504504,she presented,7,21
B,0.6752184,November ,30,40
B,0.44137448,angina,69,76
B,0.76455647,review,3,10
B,0.8090915,normal,37,44
B,0.7558486,she,48,52
B,0.7366469,health,69,76
B,0.46878812,childhood,88,98
B,0.70613086,weight loss,34,46
B,0.7085906,satiety,70,78
B,0.77272844,jaundice,79,88
B,0.8958923,fever,89,95
B,0.58470374,ch,99,101
B,0.6657902,bleeding,116,125
B,0.827236,The,0,3
I,0.9132571,patient,3,11
B,0.7262564,paren,18,24
B,0.8651485,nutrition,29,39
B,0.6749296,day seven post,45,60
B,0.50273746,aff,11,14
B,0.71147746,ation,19,24
B,0.7884626,sac,27,31
I,0.625741,nerve roots,34,46
B,0.48938158,2,47,48
B,0.66546834,3,50,51
B,0.6464529,carried,62,70
B,0.86765945,bil,74,78
B,0.85270643,examination showed leuk,10,34
B,0.46898302,ytosis,36,42
B,0.5421953,em,46,48
B,0.60896003,plate,61,67
B,0.9358207,diagnosis,8,18
B,0.7417381,suggestive,22,33
B,0.60995173,left,36,41
I,0.6230934,paratub,41,49
I,0.65890473,c,51,53
B,0.8755179,refraction,6,17
B,0.66389614,uity improved,32,45
B,0.59338975,6,48,50
B,0.5374666,9,51,52
B,0.5263432,6,56,58
I,0.55221385,right,68,74
I,0.88180006,left eyes,78,88
B,0.93034685,examination,18,30
B,0.5418843,remarkable,38,48
B,0.60578823,hem,23,27
I,0.44025815,iver,27,31
B,0.44835907,bra,33,36
I,0.47690868,,1,2
I,0.7635,6-year-old female,3,20
B,0.8141954,showed mild swelling,20,41
B,0.67697203,the,44,48
I,0.86733687,right upper eyelid,48,67
B,0.7099748,ograph,12,18
B,0.6050579,the,21,25
I,0.726644,patient,25,33
I,0.3935556,knees,35,41
B,0.8790722,revealed,41,50
B,0.507016,calc,59,64
B,0.42477295,dens,68,73
I,0.38664,ities,73,78
I,0.7426292,tissues,94,102
B,0.561227,it,114,117
I,0.5661231,one,130,134
B,0.53252375,evidence,12,21
B,0.6612997,lung lesions,24,37
B,0.8405991,biped,9,15
B,0.5888336,edema,17,23
I,0.83047247,mid shin,33,42
B,0.63928056,She,0,3
B,0.63980687,gr,17,20
B,0.7206685,ion,75,79
B,0.659462,ound showed,16,27
I,0.6566405,arse liver,46,56
B,0.78123486,hyp,70,74
B,0.47992763,ions,86,90
B,0.56528324,Pat,0,3
I,0.4832936,ient,3,7
B,0.9462397,sent,11,16
B,0.58896,recovered,54,64
B,0.7372132,ograph showed,14,27
I,0.36738804,card,49,54
I,0.59545666,silhouette,57,68
I,0.4593305,-,81,82
B,0.4223332,pul,87,91
I,0.4317214,mon,91,94
I,0.43253842,eff,97,101
B,0.49537835,usion,101,106
B,0.96419173,six,2,6
I,0.9583741,months,6,13
B,0.80096966,ographies showed,19,35
B,0.72957045,lesion healed,44,58
B,0.6593043,operation,9,19
I,0.88227516,patient,24,32
B,0.5482911,w,38,39
B,0.73502874,rehabilitation,53,68
B,0.72380674,quad,89,94
B,0.5130141,strengthening,100,114
B,0.889037,pregnancies,4,16
B,0.79321146,Multiplan,0,9
B,0.6301899,reconstruction,11,26
B,0.78851396,imag,29,34
I,0.7539221,fat,53,57
B,0.7520542,left ov,76,84
B,0.600608,c,95,97
B,0.77785367,ov,126,129
B,0.8853888,fallopian,133,143
B,0.39922348,c,162,164
B,0.90837395,seen,210,215
B,0.6188476,We tried,0,8
B,0.5550387,epistaxis,23,33
B,0.82740855,packing,44,52
B,0.42952907,aven,61,65
I,0.5331051,acid,79,84
B,0.7508168,cin,3,6
I,0.6414783,cells,13,19
B,0.74464065,polyg,24,30
I,0.6266271,amphophilic cytoplasm,48,70
I,0.4725675,us,82,84
B,0.88570225,showed,2,9
B,0.6792675,thickening,22,33
B,0.6445131,the,36,40
I,0.75756514,patient,40,48
I,0.45108417,synov,50,56
B,0.5092434,o,97,99
I,0.5974499,loose bodies,105,118
B,0.46673834,b,139,141
B,0.6005034,extensions,146,157
I,0.49986735,-,43,44
B,0.84465057,she,87,91
B,0.67221,followed,95,104
B,0.80781525,6,110,112
I,0.8412678,-month,112,118
B,0.89315146,surgery,5,13
I,0.5908761,pelvic cavity,18,32
B,0.8261355,explored,36,45
B,0.6382907,findings,61,70
B,0.50665224,found,75,81
I,0.83348465,abdominal cavity,88,105
B,0.74865973,day,2,6
I,0.53088295,,6,7
B,0.78437555,admission,11,21
B,0.54939705,headache,25,34
B,0.73020035,improved,38,47
B,0.4795925,f,55,57
I,0.90768844,left ovary,3,14
B,0.6817185,tube,18,23
B,0.6388258,surrounded,79,90
I,0.570164,cent wall,103,112
B,0.72591597,seen,173,178
I,0.65314025,l,26,28
B,0.8549526,ymphopen,28,36
B,0.45921335,(,38,40
B,0.9608147,multip,94,101
B,0.6012045,RT,104,107
B,0.500663,ch,136,138
B,0.52613443,ere,164,167
I,0.589043,AR,232,234
B,0.67622465,Her,0,3
I,0.93604344,mother,3,10
B,0.88580626,counselled,14,25
B,0.70489067,educated,29,38
B,0.73473257,pi,31,34
B,0.6229885,lit,36,39
I,0.50014836,azone,39,44
B,0.55393076,en,48,50
I,0.39047906,ol,52,54
B,0.5459259,f,55,57
I,0.54807997,sem,60,63
B,0.54835975,compliance,94,105
B,0.4760133,Patient,0,7
B,0.6300504,Hep,24,28
B,0.56774527,status,34,41
B,0.9699242,She,0,3
B,0.8648719,reviewed,12,21
B,0.43175903,ped,28,32
I,0.45066112,ian,38,41
B,0.5426349,ality,61,66
B,0.6445887,found,70,76
B,0.58242774,He,0,2
B,0.5924495,ital,26,30
B,0.7534403,feet,73,78
B,0.73369384,knees,85,91
B,0.9154966,distended,94,104
B,0.7482182,asc,113,117
B,0.8057546,tender hepatomegaly,126,146
B,0.7932437,The,0,3
I,0.93446714,patient,3,11
B,0.9364767,admitted,15,24
B,0.94989324,evaluation,36,47
B,0.9450218,treatment,51,61
B,0.8025314,The,0,3
I,0.945719,patient,3,11
B,0.77580225,went,17,21
I,0.469108,lum,26,30
B,0.40295184,omy,34,37
B,0.8196215,dissection,56,67
B,0.70667696,HBsAg,0,5
B,0.8152604,positive,9,18
B,0.73424256,protein,9,17
B,0.6015638,50,25,27
B,0.95483863,intervention,11,24
B,0.6649555,the,25,29
I,0.9141531,patient,29,37
B,0.5624674,taken,50,56
B,0.7499712,ography,25,32
B,0.50292665,CT,34,36
B,0.76872236,scan findings revealed,37,60
B,0.6438027,fracture,68,77
B,0.56071836,plan,3,8
I,0.7945913,mother,24,31
B,0.68051404,improved,40,49
B,0.60515237,indu,61,66
I,0.42681223,labour,72,79
B,0.38835225,ut,3,6
I,0.6808961,er,6,8
B,0.827466,6,20,21
B,0.45514652,4,26,27
B,0.6000951,3,32,33
B,0.5926384,1,42,44
I,0.5894764,cm,44,46
B,0.67181504,my,54,57
I,0.75485307,us,82,84
B,0.4820399,vit,3,7
B,0.837655,weight,79,85
B,0.4935115,10,87,89
B,0.73282605,id,7,9
B,0.4913353,board,27,33
B,0.5793537,chem,84,89
B,0.45938113,os,103,105
B,0.69540167,am,106,108
B,0.7778024,8,2,4
I,0.9743424,0 year-,4,11
I,0.8678,ian male,21,29
B,0.51408553,diagnosed,33,43
B,0.8094655,Bar,74,78
I,0.97429085,dys,110,114
B,0.9901725,presented,124,134
I,0.54188836,institution,141,153
B,0.9911383,therapy,157,165
B,0.70768046,5,2,3
I,0.8812234,year old lady,4,18
B,0.87198716,presented,18,28
B,0.5552687,complaints,58,69
B,0.8305015,penetr,72,79
B,0.8204402,epig,84,89
I,0.4452229,pain,95,100
I,0.9237656,week,105,110
B,0.75909966,The,0,3
I,0.926557,patient,3,11
B,0.8216881,history,18,26
B,0.65487885,migraine,29,38
B,0.837616,loss,39,44
B,0.88754135,hearing,47,55
B,0.61197823,allergy,61,69
B,0.8332299,trauma,73,80
B,0.5988065,,56,57
I,0.7856253,2,57,58
I,0.4725266,x,61,63
I,0.90617406,2,64,65
I,0.80762386,1,71,72
I,0.874212,4,73,74
B,0.7789444,epid,91,96
I,0.386828,erm,96,99
B,0.737958,melena,23,30
B,0.53588694,ab,33,36
I,0.4361769,dom,36,39
I,0.46376815,pain,43,48
B,0.89611983,examination revealed,8,29
I,0.43496233,tum,36,40
I,0.6607698,left breast,57,69
B,0.44181105,ad,69,72
B,0.7389944,examination she,2,18
B,0.67445153,ill,25,29
B,0.7504769,distress,45,54
B,0.5648188,2,82,83
I,0.81413466,breaths,84,92
I,0.7547706,min,96,100
B,0.65240926,Six,0,3
I,0.9524209,hours,3,9
I,0.77125245,patient,20,28
B,0.8705757,presented,28,38
B,0.84463966,he,58,61
B,0.62298393,esis,66,70
B,0.56614524,antation,31,39
B,0.6674807,constipation,51,64
B,0.5572306,loss,68,73
B,0.49642873,ref,76,80
B,0.6158796,pen,83,87
B,0.7097683,erection,90,99
B,0.7385706,ad,106,108
B,0.9150425,examination revealed,8,29
B,0.6862214,c,31,33
B,0.5191879,lesion,38,45
B,0.789202,cerv,62,67
B,0.7497011,ology,9,14
B,0.6288326,normal,18,25
B,0.5928502,hepatitis,29,39
B,0.47874844,B,42,44
B,0.6425003,D,48,50
B,0.6434383,yt,83,85
B,0.5242428,con,14,18
B,0.37632835,left,25,30
B,0.54703623,opia,63,67
I,0.85816896,Parents,0,7
B,0.9127378,her,15,19
B,0.6765268,service,26,34
B,0.97072583,2,43,44
B,0.52709526,July,48,53
B,0.82113314,0 two,57,62
I,0.7523353,days,62,67
B,0.88726425,istalsis,99,107
B,0.49582335,her,110,114
B,0.46318796,wall,124,129
B,0.7390225,She,0,3
B,0.62614185,larg,10,14
B,0.53481495,retroper,16,25
I,0.46924046,it,25,27
B,0.6041038,one,27,30
I,0.5239913,l,32,34
B,0.70070857,ym,34,36
I,0.7139839,ph,36,38
B,0.7590654,dissected,59,69
B,0.7337922,bleeding,94,103
I,0.6181836,family members,9,24
B,0.5381804,history,58,66
B,0.48340136,squ,69,73
B,0.71223944,mag,9,13
B,0.542644,phosph,46,53
B,0.7626026,assessment,71,82
B,0.82628775,treatment,21,31
B,0.7329441,subst,35,41
B,0.57543534,icoplan,53,60
B,0.49397016,progress,100,109
I,0.8156998,patient,3,11
B,0.52339333,w,17,18
B,0.7506862,surgery,21,29
B,0.6663,wing,58,62
B,0.5540728,bear,37,41
B,0.41559067,dom,48,51
B,0.67714417,pain,55,60
B,0.6357239,pregnancy,61,71
B,0.5410875,inated,80,86
B,0.76244295,3,89,91
I,0.5857047,0 weeks,91,98
B,0.55759287,,98,99
I,0.7556215,3days,99,104
B,0.8022115,induction,118,128
B,0.42723382,labour,131,138
B,0.6255603,history revealed,3,20
B,0.47698998,left,35,40
I,0.45198315,varian,42,48
